communityname,state,pct_urban,med_income,pct_pub_asst,med_fam_income,pct_poverty,pct_not_h_sgrad,pct_coll_grad,pct_unemploy,pct_all_divorc,pers_per_fam,pct_kids2par,pct_work_mom18,pct_kids_born_nevr_marr,pct_immig3,pct_vacant_boarded,own_hous_low_q,own_hous_qrange,rent_low_q,rent_qrange,med_rentpct_hous_inc,pers_emerg_shelt,pers_homeless,police_per_pop,racial_match,pop_density,pct_use_pub_trans,violent_per_pop,non_viol_per_pop
Covingtoncity,KY,100,21003,9.97,26236,19.83,37.55,9.81,7.63,16.34,3.19,56.51,68.19,6.25,0.08,11.12,30500,25300,177,143,26.1,58,1,NA,NA,3156.1,6.97,1587.93,8580.89
Brookingscity,SD,0,20184,3.94,30496,22.83,15.55,34.66,3.91,5.54,2.98,80.28,74.18,1.73,0.57,0.61,42600,28500,186,146,29.5,0,0,NA,NA,1509.8,0.15,45.89,3092.01
SandSpringscity,OK,100,28315,5.66,34073,8.3,24.95,14.8,5.44,13.27,3.13,73.01,72.65,0.89,0.06,4.73,41400,32100,188,162,22.3,20,0,NA,NA,810.2,0.24,391.64,4295.96
IdahoFallscity,ID,100,29887,5.12,35162,10.5,15.78,25.72,4.75,11.11,3.29,80.14,67.78,0.96,0.23,2.17,47600,37700,222,148,22.9,32,1,NA,NA,2923.1,16.97,345.37,5715.12
Mesacity,AZ,100,30273,3.8,35297,9.5,15.21,20.99,5.11,11.62,3.2,76.45,68.12,1.77,0.72,4.24,68800,40900,333,161,27,217,86,118.28,97.36,2560.8,0.9,719.23,6744.72
Westboroughtown,MA,78.65,44044,2.42,54566,3.45,9.35,39.65,4.41,9.05,3.1,84.23,73.2,0.99,0.71,0.27,159400,90200,526,336,26,0,0,NA,NA,664.7,0.76,312.39,2159.59
Bridgeporttownship,MI,67.59,32083,11.34,35732,13.7,24.24,9.21,8.32,10.82,3.18,68.55,68.64,3.05,0.16,3.07,34300,26600,242,108,26.6,0,0,NA,NA,355.3,0.48,NA,2122.79
Woodhavencity,MI,100,47513,2.78,53178,3.61,14.97,15.62,5.09,8.85,3.37,86.79,68.48,1.14,0.44,0.56,76400,30000,409,56,23.5,0,0,NA,NA,1734.9,0.76,NA,5862.24
ApacheJunctioncity,AZ,100,19686,6.29,23151,16.72,29.89,7.25,6.82,12.98,2.75,65.32,73.61,1.27,0,5.66,48300,22800,252,127,28.3,0,1,NA,NA,1063,0.29,389.09,4569.52
SouthSanFranciscodivision,CA,99.98,43088,5.77,48707,5.85,18.13,23.85,4.43,10.99,3.32,72.06,75.87,2.52,4.28,1.32,237400,130100,585,294,27.4,217,122,NA,NA,4522.6,11.51,377.37,3809.32
Maynardtown,MA,100,43253,3.69,50874,5.57,13.74,28.47,5.92,9.12,3.06,77.57,73.17,1.22,0.59,0,144300,47800,370,351,24.3,0,0,NA,NA,1902.6,1.47,257.86,1537.58
Lumbertoncity,NC,0,19030,17.99,24211,29.1,38.36,18.49,8.66,13.48,3.09,48.06,71.93,7.69,0,2.34,32600,44800,112,147,27.8,2,0,NA,NA,1493.3,0,962.82,10739.53
WebsterGrovescity,MO,100,41489,2.78,49494,3.96,10.51,46.79,3.7,7.73,3.05,82.08,71.28,1,0.74,1.35,77400,66500,326,320,26.8,0,0,NA,NA,3761,2.07,124.69,1835.93
Hamptoncity,VA,100,30144,5.73,34291,10.82,20.31,19.07,5.87,12.25,3.07,66.18,70.7,4.51,0.33,1.22,63000,34700,303,168,26.1,18,1,144.65,75.08,2492.2,2.38,455.92,5054.1
Newtoncity,IA,0,28381,5.77,35138,7.49,21.01,15.64,4,9.84,2.88,75.67,78.84,1.07,0.3,0.4,34700,31000,183,142,20.8,0,0,NA,NA,1593,0.25,93.44,NA
Alexandriacity,LA,100,18546,14.61,23151,28.78,31.37,18.4,11.25,14.05,3.25,46.39,69.15,9.08,0.17,15.31,35600,44700,148,190,30.6,49,0,492.77,68.94,1919.6,2.96,3834.1,8997.38
Taylorcity,MI,100,32659,11.19,36244,11.92,31.8,6.76,8.88,12.96,3.21,66,56.84,3.36,0.27,2.19,37200,26700,294,150,23.2,0,0,152.34,93.23,2894.5,0.69,NA,6260.61
Moundsvillecity,WV,100,20036,10,24126,16.7,35.59,8.71,9.34,12.41,2.95,66.92,61.72,1.72,0,4.17,27900,22500,142,96,28,0,0,NA,NA,3623,0.11,36.91,3617.57
Anchoragecity,AK,97.97,43946,6.38,50098,7.07,9.61,26.85,6.46,14.62,3.2,73.33,69.06,3.32,0.94,5.83,81700,61600,412,280,24.8,310,34,104.93,89.39,128.7,2.42,872.98,5535.31
Irvingcity,TX,100,31767,2.28,37072,10.55,19.29,26.19,5.24,14.89,3.07,69.41,74.74,2.38,2.5,1.05,63400,39500,351,173,23,0,0,141.65,85.45,2213,1.5,401.73,6063.49
SaratogaSpringscity,NY,0,30938,5.1,40638,8.87,16.55,30.79,5.46,9.93,3.04,74.35,65.35,1.63,0.16,0.85,85600,65500,315,184,27.6,1,0,NA,NA,848.9,1.64,1331.08,4814.15
Bedfordtown,NH,16.52,63782,0.5,68187,2.24,10.34,42.97,3.83,5.17,3.31,91.19,76.65,0.15,0,0,151700,106900,441,489,26.1,0,0,NA,NA,369.3,0.39,31.51,992.67
Muskogeecity,OK,0,19507,11.68,24733,22.47,31.06,15.97,6.21,14.42,3.03,61.7,64.9,4.29,0.15,3.75,26900,32500,157,133,27.7,73,0,NA,NA,1055.8,0.07,1153.03,7048.29
WestBendcity,WI,0,34337,4.52,38565,4.37,19.66,16.54,3.43,8.48,3.2,81.94,75.34,1.42,0,0.5,62500,27900,320,124,23.8,2,0,NA,NA,2302,0.28,127.57,4516.13
Lafayettecity,LA,100,23430,7.99,30957,21.89,24.79,27.26,8.73,11.66,3.16,64.66,64.07,6.33,0.67,5.5,41900,52300,198,129,24.2,46,1,166.15,80.74,2226.3,2.16,869.6,7573.77
NewPhiladelphiacity,OH,0,22405,8.23,28457,12.51,23.23,9.77,8.37,12.04,2.95,73.23,67.12,1.08,0,2.44,38200,31100,194,101,24.7,0,0,NA,NA,2223.9,0.29,173.57,2735.22
Jacksontownship,OH,86.67,34670,5.43,39841,7.4,20.22,13.87,3.68,11.29,3.08,74.22,74.51,1.96,0.1,2.09,63100,33300,303,127,24.1,0,0,NA,NA,661.4,1.69,203.33,3842.07
Texarkanacity,AR,100,19016,9.36,25285,25.16,32.59,12.35,7.17,14.34,3.08,53.43,64.27,7.02,0.28,3.81,28100,32700,152,173,27.1,8,14,NA,NA,1315.1,0.11,1391.58,12127.87
CedarGrovetownship,NJ,100,55464,2.04,61728,3,16.78,31.32,3.13,6.12,3.09,85.41,65.26,0.08,1.55,0,181800,68100,536,346,25.8,0,0,NA,NA,2756.1,6.25,384.21,2542.3
Germantowncity,TN,100,69019,0.97,71958,1.11,2.78,53.52,2.28,5.55,3.33,90.7,57.76,0.41,0.46,0.96,119800,69300,454,274,23,0,0,NA,NA,2067.7,0.29,27.49,1836.38
PanamaCitycity,FL,100,21881,9.39,26629,19.64,29.65,16.72,7.83,15.18,2.98,57.54,68.48,3.98,0.35,1.92,35000,37500,178,183,26.3,45,24,NA,NA,2144.9,0.05,956.68,8241.94
AtlanticCitycity,NJ,100,20309,14.85,27804,24.97,41.66,9.55,9.63,17.11,3.13,26.11,69.18,19.29,1.31,13.66,54300,46400,215,302,28.2,594,22,NA,NA,3230.5,25.65,3583.48,27010.77
Tustincity,CA,100,38433,4.75,42840,6.85,14,25.55,4.48,14,3.16,71.3,74.69,3.11,4.32,1.24,190900,119600,621,230,28.2,32,10,NA,NA,4333.9,2.3,345.39,5361.21
Atwatercity,CA,0,26701,13.51,29110,12.58,22.86,14.05,7.84,11.51,3.42,72.09,68.35,2.8,1.43,2.58,71700,40400,321,127,26.9,19,0,NA,NA,4169.5,0.39,711.12,5344.06
Lansdowneborough,PA,100,35795,4.26,44171,3.39,12.09,30.06,3.84,9.18,3.08,81.12,72.49,1.61,0.52,2.02,85200,43700,390,160,25.9,0,0,NA,NA,9600,15.85,231.16,1832.19
EastLampetertownship,PA,57.76,34720,1.93,40116,4.98,27.54,18.99,2.34,8.51,3.05,84.76,65.06,0.93,0.58,0,79000,46100,358,166,23,43,0,NA,NA,580.7,1.03,147.49,4285.48
BayCitycity,MI,100,21380,15.24,28038,18.06,30,9.41,13.52,12.56,3.1,66.4,63.85,2.52,0.02,2.37,24500,19100,198,131,29.2,26,0,NA,NA,3613.2,1.55,NA,4839
KlamathFallscity,OR,0,19382,8.67,25644,21.77,24.67,15.75,9.39,14.61,2.99,66.01,67.08,2.49,0.83,4.32,32900,34800,192,139,27.2,84,2,NA,NA,1043.6,1,506.21,4315.83
NorthSmithfieldtown,RI,64.68,41449,2.98,47420,4.08,28.52,20.77,6.22,5.73,3.12,87.39,76.31,0.76,0.33,2.83,116500,67500,252,323,23.6,0,0,NA,NA,421.5,1.09,535.75,1995.2
Salemtown,NH,80.84,44210,3.77,51073,3.81,17.56,20.39,6.35,9.48,3.24,81.65,73.72,0.93,0.34,4.49,127500,54800,472,229,24.8,0,0,NA,NA,1006,0.33,211.4,5796.21
Woodburncity,OR,0,22253,8.52,25389,22.45,36.64,8.55,5.64,7.98,3.25,69.47,61.68,3.68,5.26,2.22,43300,23000,265,123,27.6,18,0,NA,NA,3071.5,0.73,521.09,6724.88
NationalCitycity,CA,100,22129,20.05,24040,21.34,41.07,9.06,8.18,12.12,3.63,57.94,53.49,5.57,6.53,1.49,90300,51600,346,193,29.7,0,10,NA,NA,6919.5,6.02,1469.9,7496.5
Clintontown,CT,0,45884,2.26,51534,3.33,14.15,26.46,4.84,9.91,3.15,82.14,74.3,1.32,0.56,0.93,151400,64000,488,262,28.7,46,0,NA,NA,756.9,0.87,68.39,1732.65
AmericanForkcity,UT,100,29624,5.68,31851,8.08,16.35,20.05,6.09,5.85,4.12,85.47,67.56,0.29,0.21,3.97,52500,25400,252,126,24.4,0,0,NA,NA,2469.5,0.89,188.13,3794.88
Livermorecity,CA,100,49149,4.61,53181,5.18,11.78,27.28,4.19,11.86,3.14,76.46,70.28,1.51,1.14,1.18,181600,82500,555,284,27.8,41,0,NA,NA,2789.6,1.55,314.07,4690.64
Franklincity,OH,100,25569,10.26,30020,16.4,39.42,6.47,8.17,12.97,3.09,69.83,64.05,1.49,0.09,5.11,44100,26300,191,147,25.6,0,0,NA,NA,1306.8,0.2,235.07,4762.32
Somersettown,MA,100,36418,4.36,42878,3.49,30.13,21.2,6.26,5.96,3.1,80.65,80.98,0.77,0.04,3.43,117300,50400,256,288,23.1,0,0,NA,NA,2100.6,0.39,96.73,2015.15
Hemetcity,CA,100,20382,10.72,25761,14.05,32.67,9.19,9.76,12.24,2.59,58.46,56.53,2.54,1.64,0.61,71800,42100,346,186,31.4,48,0,NA,NA,1982.8,0.29,920.55,8139.06
Murfreesborocity,TN,0,26394,5.47,35633,15.99,23.03,27.24,5.97,10.61,3.02,66.06,74.64,5.68,0.66,2.32,57400,46400,263,130,27.2,44,2,NA,NA,1428.3,0.09,791.96,6476.47
Evanstoncity,IL,100,41115,3.43,53625,9.85,10.82,57.99,4.28,9.46,3.02,69.27,75.66,4.51,2.58,1.24,113500,178300,471,248,27.9,43,12,NA,NA,9117.7,21.73,NA,7387.18
RiverRougecity,MI,100,17500,26.54,22174,28.51,36.03,6.14,17.07,17.63,3.27,43.09,52.74,11.21,0,8.29,15800,15300,189,117,32.2,0,0,NA,NA,4093.3,3.88,NA,7401.15
Atholtown,MA,0,27095,10.04,33263,11.67,24.91,12.28,10.77,11.23,3.13,73.06,62.95,2.14,0.18,1.74,78000,40600,234,218,27.6,0,0,NA,NA,339.3,0.32,1064.63,2975.94
Littletoncity,CO,100,34006,3.74,43656,7.34,10.15,35.7,4.62,13.59,2.97,74.33,75.48,1.17,0.39,0.34,80400,46600,293,188,27,0,0,NA,NA,2636.6,2.57,278.64,2706.47
Homewoodvillage,IL,100,47064,1.47,53605,1.36,9.5,38.04,3.61,7.36,3.09,86.75,71.16,0.64,0.23,1.21,80000,45000,449,128,27.9,0,0,NA,NA,3554.2,19.22,NA,4712.22
Jacksontownship,NJ,59.2,44690,3.55,48592,3.76,20.48,16.29,5.68,7.35,3.33,83.3,67.54,2,0.37,2.65,119100,52600,487,231,30.6,0,0,NA,NA,320.6,3.61,67.2,4227.9
HarkerHeightscity,TX,100,26470,4.76,28046,11.21,12.4,27.1,4.37,10.61,3.11,74.29,64.63,2.12,0.37,0.54,61600,50100,254,143,24.5,0,0,NA,NA,1084.5,0.24,824.95,2826.82
Tullahomacity,TN,0,26298,8.26,33296,14.22,26.24,21.59,5.45,11.3,2.99,70.28,67.48,1.55,0.05,1.95,38500,40900,151,153,25,0,0,NA,NA,730.1,0.28,155.37,NA
Belmontcity,CA,100,50859,3.17,63718,4.71,8.47,36.77,3.41,11.46,2.86,78.69,73.39,1.26,2.14,1.86,329300,162700,607,281,27.6,5,0,NA,NA,5142.2,4.68,166.15,2713.82
Waynetownship,NJ,100,59290,2.29,64933,2.28,14.66,35.8,3.91,5.81,3.2,87.54,62.85,0.54,0.78,2.73,191200,110000,511,361,26.9,0,0,202.48,96,1905.3,4.11,125.54,5088.28
Fairfieldcity,CA,100,36886,9.13,39704,7.42,15.84,15.43,6.11,12.54,3.29,72.23,65.44,3.51,1.32,1.72,111000,63700,421,212,27,91,4,NA,NA,2078.7,1.5,951.34,5904.01
Covingtoncity,GA,0,21344,13.52,27045,23.6,49.73,8.74,11.64,13.27,3.27,43.88,65.2,10.3,0.29,1.86,42900,37200,163,197,29.9,0,0,NA,NA,806.5,0.64,1334.6,12493.54
Tivertontown,RI,59.79,36170,5.95,41127,5.59,29.53,19.05,5.39,7.11,3.09,82.38,72.81,0.76,0.1,2.84,109100,71500,301,305,26.8,0,0,NA,NA,470.5,0.4,48.01,2489.71
Stowcity,OH,100,39638,2.49,44306,3.06,14.05,30.43,3.14,8.75,3.16,84.64,64.92,0.97,0.22,0.27,65700,42400,350,144,21.8,0,0,NA,NA,1560.3,0.93,98.95,2315.53
Hackensackcity,NJ,100,38976,5.77,46171,6.97,25.57,25.74,5.79,13.16,2.93,59.14,69.42,6.97,3.62,1.69,156500,70000,496,295,25.5,81,0,289.62,74.61,8684.7,14.4,441.08,5056.46
Pearlandcity,TX,100,42565,1.83,48113,4.74,14.97,22.1,3.13,10.41,3.16,79.57,72.37,1.43,0.58,2.54,61800,36300,313,140,23,0,0,NA,NA,916.2,0.65,204.68,3192.28
Montgomerytownship,PA,79.95,52193,1.55,57406,1.08,12.21,35.98,2.8,6.97,3.02,89.38,68.51,0.26,0.32,0.81,133800,80900,564,274,24.3,0,0,NA,NA,1102.3,2.65,56.51,5085.98
Kannapoliscity,NC,100,22369,6.25,28237,11.76,41.29,7.73,5.85,13.12,2.94,61.63,74.13,3.43,0.05,3.58,34700,31600,150,149,23.2,0,1,NA,NA,1826.3,0.37,474.31,3214.43
Fresnocity,CA,100,24923,19.61,28336,24.04,30.99,19.09,8.52,13.8,3.43,60.87,54.85,6.28,3.78,4.54,62100,44900,296,155,30.1,668,124,110.43,88.55,3448.5,2.17,1418.55,9454.95
Brownsvillecity,TX,100,15890,21.71,16889,43.86,54.51,12.21,15.3,9.56,4.13,62.55,52.65,4.28,3.22,5.51,27600,32200,162,155,28.6,27,3,125.19,100,3423.3,2.4,953.67,8977.74
SulphurSpringscity,TX,0,20298,8.02,25941,18.84,36.28,12.31,7.88,12.01,3.06,70.78,76.75,2.23,0.26,1.21,30800,31900,199,117,25,0,0,NA,NA,777.6,0.28,1215.48,5422.38
Fullertoncity,CA,100,41921,4.8,48604,9.81,17.28,29.83,4.66,11.2,3.24,71.47,64.08,2.58,4.74,0.86,182300,159100,559,232,29.4,64,27,128.57,86.57,4980.1,2.35,530.44,6200.09
Centraliacity,WA,0,21618,10.97,27514,16.3,26.71,10.69,6.94,15.85,3,63.71,61.78,1.67,0.06,2.74,37400,30200,212,130,26.7,21,0,NA,NA,1964.4,0.86,537.26,7249.09
NorthHaventown,CT,100,49148,1.27,53440,2.45,17.51,26.35,3.69,6.43,3.14,84.55,73.59,0.28,0.19,1.92,157900,78400,438,210,25.1,0,0,NA,NA,1033.3,0.95,84.35,3303
Allentowncity,PA,100,25983,8.55,31972,12.86,30.56,15.27,6.26,12.07,3,61.24,67.79,6.05,1.07,3.46,58300,39700,279,174,27.1,100,11,176.28,99.07,5726.9,3.47,681.43,6474.08
PointPleasantborough,NJ,100,40798,3.32,46214,3.14,18.86,20.15,4.48,8.84,3.07,78.01,65.46,0.82,0.04,0.3,128500,63300,538,238,30.3,18,0,NA,NA,4963.7,1.73,96.47,2744.13
Warrentownship,NJ,35.17,72369,1.28,78453,0.73,10.09,43.21,4.11,4.48,3.25,88.88,63.23,0.51,0.89,3.42,238800,221800,530,471,24.7,0,0,NA,NA,531.1,2.49,85.9,2010.14
Asheborocity,NC,0,24294,6.27,30781,12.84,34.52,15.32,3.91,13.66,2.84,60.5,80.26,4.44,0.14,1.85,40700,32900,182,133,23.6,20,0,NA,NA,1327.7,0,628.09,7404.06
Clarksburgcity,WV,0,17884,9.39,24305,17.02,28.67,14.11,11.12,12.07,2.9,66.74,69.38,2.08,0.03,2.54,28800,30400,157,104,29.5,10,0,NA,NA,2219.6,2.14,84.57,2627.42
Walnutcity,CA,100,64333,4.13,64866,4.09,12.47,35.13,4.28,5.63,3.83,86.09,72.32,0.99,4.07,0.41,261500,139800,652,349,29,0,0,NA,NA,3170.5,1.61,495.28,2294.89
Garycity,IN,100,19390,17.1,23173,29.43,35.24,8.81,16.6,16.98,3.42,35.76,62.52,12.63,0.06,32.22,22100,22100,152,134,29.9,89,20,180.45,89.35,2241.1,6.1,2154.96,8024.71
Hammondcity,IN,100,26883,8.14,32045,13.49,30.67,9.22,8.93,12.56,3.21,64.19,59.19,4.05,0.18,6.41,36800,20300,220,155,24.1,144,27,220.17,93.54,3542.9,4.41,1395.22,7234.57
Dennistown,MA,61.47,27900,8.11,33531,10.56,11.64,25.33,8.65,9.96,2.74,67.59,71.21,2.39,0.16,0.7,132200,87800,344,309,28.7,0,0,NA,NA,649.2,1.22,292.52,4911.56
NorthCantoncity,OH,100,32369,2.35,40783,5.14,12.34,29.85,4.13,9.73,2.86,82.57,72.89,0.12,0,0,58600,36700,299,115,24,0,0,NA,NA,2579.2,0.32,106.96,2246.14
McMinnvillecity,OR,0,25878,6.54,31856,12.92,19.31,19.17,4.83,10.95,3.03,71.47,65.9,2.3,1.95,1.75,52200,32000,248,143,26.2,14,69,NA,NA,2025.1,0.63,266.29,5175.75
FortPiercecity,FL,100,18913,11.62,22601,29.23,43.15,11.26,12.39,15.73,3.08,36.72,70.91,11.17,1.36,2.05,42400,34100,222,181,33.4,288,25,NA,NA,2892.7,3.1,2581.96,11466.15
MasonCitycity,IA,0,24146,6.39,31225,9.63,20.34,16.28,4,10.03,2.95,74.67,80.04,1.99,0.17,2.02,32600,26900,193,134,25.2,41,0,NA,NA,1095.2,1.02,1088.12,NA
Peabodycity,MA,100,39800,5.68,44952,4.6,20.82,20.91,5.31,8.24,3.13,78.97,72.81,2.35,1.08,1.02,154200,51000,306,359,26.4,81,0,NA,NA,2768.9,1.66,155.42,4012.02
Benbrookcity,TX,100,45303,1.48,52913,4.18,8.47,35.22,3.59,9.82,2.95,81.74,67.8,0.68,0.45,0,69000,37700,344,192,19.9,0,0,NA,NA,1662.5,0.05,149.6,2248.71
Brownwoodcity,TX,0,17826,11.52,22815,23.79,35.35,15.25,9.51,12.18,3.07,63.68,61.93,2.45,0.3,3.37,21100,32300,161,138,27.9,0,0,NA,NA,1510.6,0.61,695.28,5849.76
Lebanoncity,PA,0,21619,10.12,26598,14.61,36.72,8.15,4.84,13.64,2.97,60.01,73.48,3.87,0.53,3.79,33900,30000,200,135,23.8,4,0,NA,NA,5712.2,1.16,297.37,3631.1
SouthHoustoncity,TX,100,23485,8.91,25212,21.39,51.75,4.08,8.2,12.94,3.73,70.18,52.2,2.08,2.29,4.47,30000,19600,231,120,23.7,0,0,NA,NA,4530.3,1.21,306.54,7310.41
Kingsvillecity,TX,0,22053,12.75,26370,27.26,35.79,20.38,10.29,9.63,3.42,67.14,56.15,2.81,0.95,6.56,27300,32100,185,166,27.6,0,0,NA,NA,1919.5,0.07,832.32,5681.12
Kentwoodcity,MI,100,34324,4.3,40946,4.98,16.08,26,3.43,11.16,3.09,77.41,75.34,2.17,0.4,0.37,62700,34600,370,133,22.7,0,0,NA,NA,1735.5,0.47,NA,4524.15
Butlercity,PA,0,17391,13.59,24325,23.2,27.26,11.04,7.39,14.39,3.01,62.92,61.1,2.74,0,2.84,28800,22800,183,126,28.4,25,0,NA,NA,5624.2,0.73,212.73,3025.47
Laceytownship,NJ,0,37397,3.53,41568,4.29,23.05,13.76,6.1,6.9,3.12,81.16,68.46,0.49,0.26,0.32,104600,66800,545,189,29.7,0,0,NA,NA,254.4,1.19,78.94,2719.18
Ansoniatown,CT,100,34181,6.21,40345,7.59,27.16,12.52,7.55,9.18,3.09,68.5,73.52,5.22,0.47,3.2,130800,47300,303,245,23.6,0,0,NA,NA,2945.6,1.45,346.99,2952.19
EastGreenwichtown,RI,65.95,50896,4.93,61843,4.72,10.16,44.18,4.07,8.08,3.17,84.9,58.63,1.32,0.24,2.8,157200,165500,319,295,28.2,0,0,NA,NA,695.4,1.76,84.02,2377.75
Sharonvillecity,OH,100,36332,2.87,42427,5.23,19.9,21.92,2.27,11.95,2.96,78.69,75.6,1.23,0.38,0.6,65600,39400,371,124,21.9,0,0,NA,NA,1185.6,0.7,171.06,6072.7
Greenvillecity,OH,0,23044,5.99,29523,10.98,27.71,11.15,7.03,12.42,2.92,72.02,76.64,1.12,0.22,3.64,38300,32600,187,110,24.7,0,0,NA,NA,2539.7,0.29,108.07,4585.46
Tempecity,AZ,100,31885,3.47,40512,13.61,10.08,36.75,5.19,11.25,3.08,72.11,69.44,2.69,1.82,0.61,73700,45600,364,176,29.5,51,0,158.02,91.93,3465.2,1.48,556.4,7720.02
Sanfordcity,NC,0,21205,9.21,26046,21.06,29.52,14.83,6.93,14.08,3.02,51.61,78.91,6.9,0.37,2.46,36900,38700,163,160,26.7,6,0,NA,NA,1001.3,0,1240.39,14013.43
Williamsburgcity,VA,100,25393,5.79,36693,19.37,16.26,42.9,4.87,6.34,2.7,55.86,72.61,6.54,1.56,0.61,85500,113000,353,166,28.3,0,0,NA,NA,1292.6,1.05,212.83,3689.11
Wickliffecity,OH,100,32964,2.52,37671,4.18,23.47,11.79,4.41,8.76,3.03,77.17,62.41,0.32,0.18,1.11,61200,23700,306,130,22.6,0,0,NA,NA,3020.3,1.13,130.01,2181.29
Smyrnacity,GA,100,33863,2.73,40482,6.57,15.33,34.13,3.92,15.61,2.81,64.13,76.03,2.83,1.47,1.31,64000,34300,412,165,24.4,0,8,NA,NA,2630,1.04,447.45,8474.42
CrownPointcity,IN,100,37539,2.17,43657,3.43,17.03,20.94,5.35,8.39,3.15,82.86,70.28,0.8,0.14,0.65,62700,34800,325,136,25.6,0,0,934.78,84.34,2168.3,1.09,54.99,1792.59
Hanahancity,SC,100,28435,4.17,33294,7.53,20.26,15.72,2.83,12.77,2.98,70.16,66.38,1.13,0.55,0.68,60200,50100,274,99,23.7,0,0,NA,NA,1325,0.61,487.73,4250.21
Haverfordtownship,PA,100,48210,2.35,54458,3.18,12.66,37.63,2.81,5.58,3.19,87.91,64.73,0.73,0.65,0.41,124900,49600,439,338,27.1,109,0,NA,NA,4805.5,8.94,76.92,1110.39
LongBranchcity,NJ,100,30693,9.04,35141,14.72,28.15,20.13,8.57,13.16,3.12,54.38,68.02,6.45,2.16,2.63,115000,77700,423,221,28.2,0,1,NA,NA,5303.9,6.04,1227.61,7304.97
Humblecity,TX,100,27483,4.36,33019,8.56,22.83,13.96,5.16,17.81,3.12,65.85,70.22,1.48,1.07,1.72,49500,29900,288,110,23.1,0,1,NA,NA,1180,1.11,771.88,9779.68
Suffieldtown,CT,22.54,50714,3.72,56769,2.72,12.49,30.49,3.46,7.58,3.08,81.9,70.25,0.36,0.53,3.37,145200,100300,372,303,25.4,0,0,NA,NA,261.3,1.36,43.71,1118.88
Bettendorfcity,IA,100,40174,2.86,46770,4.73,9.93,34.21,3.92,9.19,3.09,82.02,72.43,1.5,0.04,1.25,52500,43800,268,160,21,0,0,NA,NA,1278.9,0.49,454.84,NA
LaCrossecity,WI,100,21947,8.53,30067,21.04,19.28,21.43,6.24,9.22,2.99,70.09,71.58,2.47,1.8,1.08,42300,25900,219,146,27.1,25,0,NA,NA,2681.7,3.16,74.09,5634.96
Hobartcity,IN,100,34602,3.55,40152,5.08,21.32,11.71,4.86,9.4,3.13,78.72,67.23,0.56,0.1,3.49,41100,27500,296,131,24.2,0,0,NA,NA,1363.5,2.11,163.75,2378.42
Albemarlecity,NC,0,22504,7.86,27907,14.11,39.42,12.49,6.66,11.28,2.92,65.48,78.88,4.8,0.2,1.64,33600,37800,169,129,24.4,0,0,NA,NA,983.3,0,906.29,9165.53
RoyalOakcity,MI,100,36835,3.12,44446,4.56,13.95,28.42,4.36,11.33,2.95,79.12,68.53,0.74,0.56,0.37,61800,32300,405,134,23.6,76,0,NA,NA,5340.5,0.74,NA,3851.07
Newportcity,KY,100,18683,12.14,22848,25.83,45.84,7.98,8.99,17.24,3.27,52.92,63.81,5.76,0.07,6.68,25500,26500,184,141,27.3,0,3,NA,NA,6654.1,7.46,1093.88,7205.82
DeerfieldBeachcity,FL,100,26950,2.78,35318,9.89,25.73,16.07,4.79,11.32,2.62,58.7,76.28,3.81,1.37,1.07,73400,59400,430,223,28,0,0,NA,NA,4281.4,1.35,832.58,6830.94
Christiansburgtown,VA,0,26171,6.92,31468,10.92,31.37,17.22,4.01,12.22,2.92,72.15,76.67,1.1,0,0.39,50100,34100,200,159,23.1,0,0,NA,NA,1071.1,0.11,112.94,4743.62
VeroBeachcity,FL,100,26877,3.69,35268,9.85,19.48,23.51,7.16,13.57,2.59,62.96,71.42,1.33,0.81,0.39,65400,118100,334,159,28.6,0,2,NA,NA,1512.9,0,657.11,7429.13
WestPatersonborough,NJ,100,44933,3.56,51322,3.86,25.64,21.07,4.19,8.82,3.04,80.01,61.12,1.26,1.37,0,161700,85100,600,138,22.6,0,0,NA,NA,3578.6,3.19,236.22,4050.74
Sherwoodcity,AR,100,36698,2.53,39659,4.25,12.78,23.47,3.55,10.67,3.05,80.91,77.53,0.41,0.07,2.52,55900,34500,275,139,21.7,6,0,NA,NA,1558.8,0.53,270.39,4181.35
Shoreviewcity,MN,100,48828,1.43,53840,2.77,4.99,42.14,2.45,8.57,3.17,86.68,77.85,1.03,0.5,0,86200,54000,458,124,22.4,0,0,NA,NA,2120.4,1.51,NA,1135.78
Louisvillecity,KY,100,20141,11.47,25805,22.61,32.81,17.23,8.24,15.72,3.02,47.79,69.2,8.76,0.41,15.07,30500,36100,164,150,26.4,808,33,147.08,86.92,4181.4,8.61,999.13,5451.18
Needhamtown,MA,100,60357,1.82,69515,3.29,5.58,53.74,4.35,5.74,3.14,86.71,66.96,0.41,0.8,0,214900,103300,492,509,24.7,0,0,NA,NA,2108.6,10.51,144.44,1648.7
Jacksonvillecity,TX,0,17552,10.28,22949,26.71,39.11,13.46,8.82,12.79,3.18,59.27,64.86,4.56,2.19,3.41,27600,35800,144,149,24.5,0,0,NA,NA,975,0,594.35,4606.24
Limacity,OH,100,21061,13.1,25775,21.57,30.73,8.39,12.83,15.97,3.17,55.35,68.1,6.59,0.09,12.74,26800,25000,178,138,27.6,70,0,NA,NA,3469.8,1.36,2344.68,7747.54
